trace_id,live_dead_sampling,shell_height,shell_length,shell_width,cup,fan,whole_wet_weight,dry_shell_weight,dry_tissue_weight,condition_index,notes,length_mm,ploidy,survived,growth_abs,growth_log,yield_dtw,yield_www,perf_composite
20250826 plate2 F03,0,89.66,59.4,30.57,0.340955,0.662503,101.6,70.938,5.471,10.44,NA,34.89,triploid,1,54.769999999999996,0.9438244835286107,5.471,101.6,83.33333333333333
20250826 plate2 A04,0,59.85,46,34.04,0.568755,0.768588,47.02,32.894,3.276,7.26,NA,24.06,diploid,1,35.790000000000006,0.9112907214574494,3.276,47.02,31.428571428571427
20250826 plate2 B04,0,69.17,58.05,26.7,0.386005,0.839237,60.849,43.271,3.616,7.8,NA,24.93,diploid,1,44.24,1.0204953450770269,3.616,60.849,62.142857142857146
20250826 plate2 C04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.97,diploid,NA,NA,NA,NA,NA,NA
20250826 plate2 D04,0,57.53,48.57,26.17,0.4548930992525639,0.8442551712150183,49.25,33.523,3.432,7.331341005913399,NA,23.6,diploid,1,33.93,0.8910598388436377,3.432,49.25,27.857142857142858
20250826 plate2 E04,0,70.4,52.58,20,0.28409090909090906,0.746875,61.396,42.225,3.811,8.293777059099682,NA,25.55,diploid,1,44.85000000000001,1.0135559465142834,3.811,61.396,68.57142857142857
20250826 plate2 F04,0,62.23,47.67,23.66,0.3802024746906637,0.766029246344207,47.7,34.017,3.776,11.510633632975223,NA,22.01,diploid,1,40.22,1.0393403030427562,3.776,47.7,74.28571428571429
20250826 plate2 A05,0,60.6,48.81,25.44,0.4198019801980198,0.8054455445544555,50.818,40.188,3.301,9.990592662276583,NA,23.84,triploid,1,36.760000000000005,0.9329300508781198,3.301,50.818,38.23529411764706
20250826 plate2 B05,0,64.09,51.29,24.23,0.3780621001716336,0.8002808550475893,58.577,40.83,4.079,10.475009860821546,NA,24.21,triploid,1,39.88,0.9735225745661684,4.079,58.577,50
20250826 plate2 C05,1,67.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.39,triploid,0,NA,NA,0,0,NA
20250826 plate2 D05,0,77.04,57.56,30.47,0.3955088265835929,0.7471443406022845,82.357,59.09,4.624,10.177504620277649,NA,31.98,triploid,1,45.06,0.8792140600840619,4.624,82.357,58.82352941176471
20250826 plate2 E05,1,63.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.41,triploid,0,NA,NA,0,0,NA
20250826 plate2 F05,0,60.23,46.63,26.7,0.4433006807238918,0.7741989042005646,54.666,41.333,3.035,6.01515037875947,NA,27.24,triploid,1,32.989999999999995,0.7934840857743181,3.035,54.666,7.8431372549019605
