index_id,scale,feature,adjustment,absorbed_duplicates,completeness
fc_corr_mm|value_2h|resid,fc_corr_mm,value_2h,resid,NA,1
fc_corr_mm|value_3h|resid,fc_corr_mm,value_3h,resid,NA,1
fc_corr_mm|value_4h|resid,fc_corr_mm,value_4h,resid,NA,1
fc_corr_mm|auc_0_1h|resid,fc_corr_mm,auc_0_1h,resid,NA,1
fc_corr_mm|auc_0_2h|resid,fc_corr_mm,auc_0_2h,resid,NA,1
fc_corr_mm|auc_0_3h|resid,fc_corr_mm,auc_0_3h,resid,NA,1
raw_delta_mm|final_value|resid,raw_delta_mm,final_value,resid,NA,1
raw_delta_mm|peak_value|resid,raw_delta_mm,peak_value,resid,NA,1
raw_delta_mm|auc_total|resid,raw_delta_mm,auc_total,resid,NA,1
raw_delta_mm|auc_early|resid,raw_delta_mm,auc_early,resid,NA,1
raw_delta_mm|auc_late|resid,raw_delta_mm,auc_late,resid,NA,1
raw_delta_mm|delta_auc_late_minus_early|resid,raw_delta_mm,delta_auc_late_minus_early,resid,NA,1
raw_delta_mm|initial_slope|resid,raw_delta_mm,initial_slope,resid,NA,1
raw_delta_mm|vmax|resid,raw_delta_mm,vmax,resid,NA,1
raw_delta_mm|min_slope|resid,raw_delta_mm,min_slope,resid,NA,1
raw_delta_mm|depression_abs|resid,raw_delta_mm,depression_abs,resid,NA,1
raw_delta_mm|rate_h2|resid,raw_delta_mm,rate_h2,resid,NA,1
raw_delta_mm|rate_h3|resid,raw_delta_mm,rate_h3,resid,NA,1
raw_delta_mm|rate_h4|resid,raw_delta_mm,rate_h4,resid,NA,1
raw_delta_mm|max_drop|resid,raw_delta_mm,max_drop,resid,NA,1
raw_delta_mm|lin_slope|resid,raw_delta_mm,lin_slope,resid,NA,1
raw_delta_mm|quad_coef|resid,raw_delta_mm,quad_coef,resid,NA,1
raw_delta_mm|mean_rate|resid,raw_delta_mm,mean_rate,resid,NA,1
raw_delta_mm|sat_asymptote|resid,raw_delta_mm,sat_asymptote,resid,NA,0.975609756097561
raw_delta_mm|sat_k|resid,raw_delta_mm,sat_k,resid,NA,0.975609756097561
raw_delta_mm|value_2h|resid,raw_delta_mm,value_2h,resid,NA,1
raw_delta_mm|value_3h|resid,raw_delta_mm,value_3h,resid,NA,1
raw_delta_mm|value_4h|resid,raw_delta_mm,value_4h,resid,NA,1
raw_delta_mm|auc_0_1h|resid,raw_delta_mm,auc_0_1h,resid,NA,1
raw_delta_mm|auc_0_2h|resid,raw_delta_mm,auc_0_2h,resid,NA,1
raw_delta_mm|auc_0_3h|resid,raw_delta_mm,auc_0_3h,resid,NA,1
