phenotype,value_metric,feature,family_id_group,n,mean,sd,se,median,iqr
low-salinity,corrected_fc,delta_auc_late_minus_early,74,26,2.9842082641270156,2.059543585297707,0.40390972809722514,2.7299516527351693,2.2349768777130987
low-salinity,corrected_fc,delta_auc_late_minus_early,76,24,4.3076359964837385,2.462776222536394,0.5027120913227666,3.567911616113955,2.3539450817500205
low-salinity,corrected_fc,delta_auc_late_minus_early,77,24,6.207603019187564,3.2621784177444257,0.6658893811161357,5.689884589100529,4.5941308926934
low-salinity,corrected_fc,delta_auc_late_minus_early,78,17,6.487549162036498,2.145833302312207,0.5204410212000695,6.189906101012623,2.2460295576121005
low-salinity,corrected_fc,delta_auc_late_minus_early,79,31,3.394733407319328,1.710979011104021,0.3073009020508104,3.4910039054946456,2.232243444356162
low-salinity,corrected_fc,delta_auc_late_minus_early,80,27,2.626073718442602,2.286649578354537,0.440065916535112,2.0724587868568998,1.4775377230028233
low-salinity,corrected_fc,delta_auc_late_minus_early,82,21,6.21455599711503,3.223467650110988,0.7034183098511919,5.441381955410998,5.24780501062892
low-salinity,corrected_fc,delta_auc_late_minus_early,83,26,4.0228262881764545,3.889698519652933,0.762832640527049,3.4592573408776106,5.900798483298739
low-salinity,corrected_fc,delta_auc_late_minus_early,84,25,3.550953868064942,2.711736852026577,0.5423473704053154,2.677498864947089,3.550915251313793
low-salinity,corrected_fc,delta_auc_late_minus_early,85,24,4.1296114613061405,3.422179298173602,0.6985494240700979,2.598717811713418,5.699282272972636
low-salinity,corrected_fc,delta_auc_late_minus_early,88,20,4.447563070054217,2.1684542485073592,0.4848811105760677,3.8637741536734964,2.8699592445716045
low-salinity,corrected_fc,delta_auc_late_minus_early,90,23,4.788742355772672,2.943826431918272,0.6138302435371676,4.50133364289054,4.211071482817559
low-salinity,corrected_fc,depression_abs,47,27,0.015008172547267117,0.05855141685178978,0.011268225426938273,0,0
low-salinity,corrected_fc,depression_abs,48,23,0.013830850001547438,0.04357956647261777,0.009086967767899235,0,0
low-salinity,corrected_fc,depression_abs,49,27,0.026494141205243044,0.13739223506065254,0.026441147965610694,0,0
low-salinity,corrected_fc,depression_abs,50,27,0,0,0,0,0
low-salinity,corrected_fc,depression_abs,51,28,0.00428717963822946,0.022685622297230024,0.00428717963822946,0,0
